Course number,Course Name,Discipline,Slot,Instructor,Room Allotted
LA799,Thesis (For PhD),LA,NA,DPGC_LA,NA
TP624,Introduction to  Understanding Psychological Disorders,LA,J23,Dr. Rajkumar Eslavath,L209
TPL622,Culture and the Study of Human Strengths,LA,C,Dr. Rajkumar Eslavath,L205
TPL623,Advanced Positive Psychology,LA,B,Dr. Anindita Ghosh,L205
TPL625,Allied Health Studies,LA,F,Dr. Rajkumar Eslavath,L205
TPL626,Statistical Analysis,LA,E,Dr. Rajkumar Eslavath,L105
MA699,Thesis (For MSc),MA,NA,DPGC MA,NA
MA795,PhD Candidacy,MA,NA,DPGC MA,NA
MA799,Thesis (For PhD),MA,NA,DPGC MA,NA
MAT895,PhD Candidacy,MA,NA,DPGC_MA,NA
MAT899,Thesis (For PhD students admitted in 2023-24-M Semester),MA,NA,DPGC MA,NA
MAL101/IC104/IC152,Mathematics-II,MA,"C, H2 TUT",Dr. Pawan Kumar Mishra,L209
MAL405/MA504,Differential Equations,MA,"M, H3 TUT",Dr. Raj Kumar Mistri,L207
MAL406,Numerical Analysis,MA,"K, H1 TUT","Dr. Avijit Pal, Dr. Kuldeep Kumar Kataria","L207, (ED1 203/204)"
MAL500/MA508,Topology,MA,L,Dr. Anurag Singh,L104
MAL501,Complex Analysis,MA,I,Dr. Lakshmi Kanta Patra,L203
MAL502,Functional Analysis,MA,"F, E1 TUT",Dr. Arnab Patra,L208
MAL511/MA614,Additive Number Theory,MA,G,Dr. Raj Kumar Mistri,L103
TPL627/MA509,Statistical Inference,MA,B,Dr. Lakshmi Kanta Patra,L104
TPL628/MA611,Stochastic Processes,MA,D,Dr. Kuldeep Kumar Kataria,L208
ME213,Heat and Mass Transfer,ME,D,Dr. Pravesh Chandra Shukla,ED1 203/204
ME232,Dynamics,ME,A,Dr. Ganesh Kolappan Geetha,L201
ME334,Design of Machine Elements,ME,B,Dr. Anshul faye,L203
ME352,Manufacturing Science II,ME,E,Dr. Purnendu das,L204
ME372,Mechanical Engineering Lab II,ME,U,"Dr. Purnendu das, Dr. Vijay Shantaram Duryodhan",NA
ME413,Refrigeration and Air-Conditioning,ME,M,Dr. Udayraj,L103
ME499,Thesis (For BTech Honours),ME,NA,DUGC_ME,NA
ME599,Thesis (For MTech),ME,NA,DUGC_ME,NA
ME795,PhD Candidacy,ME,NA,DUGC_ME,NA
ME799,Thesis (For PhD),ME,NA,DUGC_ME,NA
MEL613/ME513,Convective Heat Transfer,ME,G,Dr. Balkrishna Mehta,L101
MEL633/ME633,Finite Element Method,ME,"L12, L3 TUT",Dr. Anshul faye,L101
MEL655/ME652,Automation in Production Systems,ME,A,Dr. Soumya Gangopadhyay,L202
MEP102/IC101,Digital fabrication,ME,"F1, F2 - TUT ,O,W,Q,S,U
-LAB","Dr. Purnendu Das, Dr. Kaushik Bandhopadhyay",L209
MET895,PhD Candidacy,ME,NA,DPGC_ME,NA
MET899,Thesis (For PhD students admitted in 2023-24-M Semester),ME,NA,DPGC_ME,NA
TPL629/ME515,Engine management system and Alternative Fuels,ME,E,Dr. Pravesh Chandra Shukla,L207
TPL630/ME637,Wave Propagation in Structures,ME,J,Dr. Ganesh Kolappan Geetha,L206
TPL633/ME653,Experimental Methods in Fluids and Thermal Science,ME,I,Dr. Vijay Shantaram Duryodhan,L204
TPL632/ME615,Computational Fluid Dynamics,ME/EV,L,Dr. Nagesh Debidas Patil,L204
MEL651/ME560,Additive Manufacturing,ME/MSME,B,Dr. Rahul Jain,L204
TPL634,Mechanical Behaviour and testing of materials,ME/MSME,D,Dr. Jose Immanuel R,L103
TPL635/ME557,Laser Materials Processing,ME/MSME,E,Dr. Kaushik Bandhopadhyay,L102
MML554,Computational Methods in Materials Science,MSME,C,Dr. Md Mehboob Alam,L203
MMP501,Material Characterization Laboratory,MSME,W,"Dr. Raghavender Medishetty, Dr. Sanjib Banerjee, Dr.
Purnendu Das",NA
MMP553,Material Fabrication Laboratory,MSME,Q,"Dr. Raghavender Medishetty, Dr. Sanjib Banerjee, Dr.
Purnendu Das",NA
MMT799,Thesis (For MTech students admitted in 2023-24-M semester),MSME,NA,DPGC_MSME,NA
MMT895,PhD Candidacy,MSME,NA,DPGC_MSME,NA
MMT899,Thesis (For PhD students admitted in 2023-24-M Semester),MSME,NA,DPGC_MSME,NA
MT251,Embedded System for Mechanical Controls,MT,B,Prof. Santosh Biswas,L207
MT252,Fundamental of Robotics,MT,D,"Dr. Kaushik Bandhopadhyay, Dr. Purnendu Das",L202
MT253,Hydraulics and Pneumatics Systems,MT,F,Dr. Jose Immanuel R,L207
MT599,Thesis (For MTech),MT,NA,DPGC_MT,NA
MT795,PhD Candidacy,MT,NA,DPGC_MT,NA
MT799,Thesis (For PhD),MT,NA,DPGC_MT,NA
MTL602/MT551,Design and Analysis of Robotic System,MT,D,"Dr. Kaushik Bandhopadhyay, Dr. Purnendu Das",L204
MTL655,Automation in Production Systems,MT,A,Dr. Soumya Gangopadhyay,L103
MTT799,Thesis (For MTech students admitted in 2023-24-M semester),MT,NA,DPGC_MT,NA
MTT895,PhD Candidacy,MT,NA,DPGC_MT,NA
MTT899,Thesis (For PhD students admitted in 2023-24-M Semester),MT,NA,DPGC_MT,NA
PH699,Thesis (For MSc),PH,NA,DPGC_PH,NA
PH795,PhD Candidacy,PH,NA,DPGC_PH,NA
PH799,Thesis (For PhD),PH,NA,DPGC_PH,NA
PHL507/PH506,Statistical Mechanics,PH,D,Dr. Sabyasachi Ghosh,L102
PHL508/PH512,Solid State Physics,PH,M,Dr. Sesha Vempati,L104
PHL509/PH509,Nuclear and Particle Physics,PH,A,Dr. Sudhanwa Patra,L203
PHL510/PH511,Atomic and Molecular Physics,PH,G,Dr. Mahavir Sharma,L204
PHL607/PH513,Experimental and Measurement techniques,PH,B,Dr. Dhruv Pratap Singh,ED1 203/204
PHP511,General Physics Laboratory,PH,"O, U",Dr. Sesha Vempati,NA
PHT895,PhD Candidacy,PH,NA,DPGC_PH,NA
PHT899,Thesis (For PhD students admitted in 2023-24-M Semester),PH,NA,DPGC_PH,NA
TPL637/PH517,Astrophysics and cosmology,PH,I,Dr. Mahavir Sharma,L101
TPL638/PH606,Particle Physics,PH,F,Dr. Sudhanwa Patra,L203
PHL610/PH610,Science and Technology in Thin Films,PH/MSME,H,Dr. Anjali Chaudhary,L103
PHL611/PH611,Applied optics,PH/MSME,C,Dr. Praveen Kumar,L206
